Brad,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = group)
#snacks,,,,
,,,,
,,,,
#misc,,,,
vegetable oil,1 qt,,larger,
,,,,
,,,,
,,,,
,,,,
,,,,
#condiments,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#produce,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#frozen,,,,
Johnsonville home style meatballs,2 bags,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Grain,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#baking,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#dairy,,,,
milk,1 gallon,2%,,
eggs,12,,,
cottage cheese,1 48oz,2 smaller,,
kraft sliced american cheese,1 box,,,
yogurt,1 box,,,
,,,,
#meat,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Canned,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Drinks,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Boos,,,,
Jose Quervo Especial,750 mL,,,
seagram's 7,2 1.75L,,canadian club,
Nati Light,90,,other lite beer,
