Eric/Bre,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials
#snacks,,,,
,,,,
,,,,
#misc,,,,
hamburger helper beef stroganoff,1 box,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#condiments,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#produce,,,,
fresh mint,1 package,,,
baby potatos,1 large bag or 2 small,,,
strawberries,1 pack,,,
pre-peeled garlic,1 package,,,
,,,,
,,,,
#frozen,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Grain,,,,
minute rice,1 large box or 2 small boxes,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#baking,,,,
cocao powder,1 pk,,,
semi sweet chocolate chips,1 bag,,,
,,,,
,,,,
,,,,
,,,,
#dairy,,,,
cream cheese,1 box or 4sticks,,,
sour cream,large tub,,,
coffee mate vanilla creamer,large bottle,,,
shredded mexican cheese,large bag,,,
queso fresco,1 wheel,,,
flour tortillas large ,1 package,,,
#meat,,,,
leg meat,largest pack,,,
lean ground beef,2lbs,,,
,,,,
,,,,
,,,,
,,,,
#Canned,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Drinks,,,,
diet root beer 12pk,1 pack,,,
diet sunkist 12 pk,1 pack,,,
diet sprite 12 pk,,,,
,,,,
,,,,
,,,,
#Boos,,,,
