Family,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = group)
#snacks,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#misc,,,,
Cooking Oil,Large,Vegitable Cooking Oil,,
,,,,
,,,,
,,,,
,,,,
,,,,
#condiments,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#produce,,,,
Green Beans,2 bags,Fresh,Frozen,
Russet Potatoes,1 bag,,,
,,,,
,,,,
,,,,
,,,,
#frozen,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Grain,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#baking,,,,
olive oil,largest bottle,ensure its olive oil and not flavored canola,,
,,,,
,,,,
,,,,
,,,,
,,,,
#dairy,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#meat,,,,
Wings,1 large bag,frozen,,CK/JK
,,,,
,,,,
,,,,
,,,,
,,,,
#Canned,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Drinks,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Boos,,,,
