Brad,,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = BK),Meal
#snacks,,,,,
peanut butter and pretzels,1 large,,2 regular size,,
,,,,,
#misc,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#condiments,,,,,
creamy peanut butter,1 large,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#produce,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#frozen,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Grain,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#baking,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#dairy,,,,,
2% milk,1 gallon,,,,
cottage cheese,1-48 oz,,,,
Kraft sliced american cheese,1 box.,,,,
yogurt,1 box variety flavor,,,,
,,,,,
,,,,,
#meat,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Canned,,,,,
vandeecamp pork and beans,6,,,,
sweet peas,6,,,,
progresso chicken and herb dumplings,4,,,,
,,,,,
,,,,,
,,,,,
#Drinks,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Boos,,,,,
Nati light,3-30 pks,,any light beer,,
Seagram's 7  1.75L,2,,,,
