Chris/Mona/Denise,,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = CMD),Meal
#snacks,,,,,
Cheez its,2,boxes; toasty,original,DK,
Sugar-Free Chocolate pudding,3, packs; Chocolate,,MQ,
Wheat Thins,1,box,,MQ,
Strawberry Poptarts,1,box,,MQ,
#misc,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#condiments,,,,,
Island Terriyaki Sauce,1,Bottle,,,Grilled Pineapple Chimichurri
Lime Juice,1,Big bottle,,,Grilled Pineapple Chimichurri
Garlic Chili Paste,1,bottle,,,Hot Pot
Peanut Butter,2,bottle,,,Hot Pot
worcestershire sauce,1,bottle,,,Ham Pineapple Rice
Sugar-free Maple Syrup,1,bottle,reduced sugar,,Chicken and Waffles
Bean Curd,1,bottle,,,Hot Pot
#produce,,,,,
Cremini mushrooms,1,8 oz,brown ,,Chicken Marsala
Lime,5,,,,Crispy Cilantro Lime Chicken Thighs
Corn on the Cob,3,,,,Fried Chicken Breast
Potatoes,1,bag of russet,,,Fried Chicken Breast
Potatoes,4,Red,more russets,,CordonBlu 
Green Onion,1,bunch,,,
Yams,3,,,,Pork Chops
Yams,1,,,,Hot Pot
Ginger,1,,,,Grilled Pineapple Chimichurri
Buk Choy,1, bag,,,Hot Pot
Parsley,1,,,,Grilled Pineapple Chimichurri
big leaf spinach,1,bag,,,Hot Pot
Cilantro,1,bunch,,,Grilled Pineapple Chimichurri
Cilantro,1,bunch,,,Crispy Cilantro Lime Chicken Thighs
Carrot,1,bag,,,Curry
Garlic,1,bundle,,,
Red Bell Pepper,1,medium ,,,Grilled Pineapple Chimichurri
Buk Choy,enough for 3 servings,,,,Crispy Cilantro Lime Chicken Thighs
Yellow Squash,3 squashies,,,,Asian Grilled Flank steak
#frozen,,,,,
Drumstick,Large Box,Veriety,,,
CordonBlu ,6 breasts,,,,CordonBlu 
Green Beans,1,bag (one meal),,,Pork Chops
,,,,,
,,,,,
,,,,,
#Grain,,,,,
Couscous,1,bag;12 oz,,,Grilled Pineapple Chimichurri
Macadamia nuts,1,8 oz container,,,Grilled Pineapple Chimichurri
,1,,,,
,,,,,
#baking,,,,,
White chocolate chips,1,bag,,MQ,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#dairy,,,,,
eggs,18,,,,
unsalted butter,1lb,,,,
Heavy Cream,1,quart,,,Chicken Marsala
Buttermilk,1,Quart; 3 cups worth,,,Chicken and Waffles
Milk,1,gallon; 2%,,,Chicken and Waffles
,multi pack,,,,
,,,,,
#meat,,,,,
Chicken breast,3,"large,boneless,skinless",,,Chicken and Waffles
Chicken breast,6,Skin on,,,Fried Chicken Breast
Chicken Breast,2,"large, boneless, skinless",,,Chicken Marsala
Chicken breast ,4," pack; boneless, skinless",,,Grilled Pineapple CHimichurri
Ham Steaks,2,large packets; multiple steaks,,,Ham Pineapple Rice
Pork Chops,4 lbs,boneless,bone in,,Pork Chops
Pork Belly,3 lbs,thinly sliced,,,Hot Pot
Brisket,2 lbs,thinly sliced,,,Hot Pot
Flank Steak,1,2-3 lbs,,,Asian Grilled Flank steak
Beef Stew Meat,2 lbs,cubed,,,Curry
Chicken Thighs,1 pack,6 bone-in skin-on,,,Crispy Cilantro Lime Chicken Thighs
#Canned,,,,,
Pineapple ,1,meal 01,,,Grilled Pineapple Chimichurri
Pineapple ,1,391 ml can meal 02,,,Ham Pineapple Rice
Low Sodium Chicken Broth,1,quart meal01,,,Ham Pineapple Rice
Low Sodium Chicken Broth,1,quart meal02,,,Hot Pot
Low Sodium Chicken Broth,1,can,,,Chicken Marsala
Beef Bone Soup,1 quart,,,,Hot Pot
,,,,,
,,,,,
#Drinks,,,,,
Selzter Water,48,Veriety is key,,CK/MQ,
Diet Coke,24,,,CK/MQ,
Diet Dr Pepper,24,,More Diet Coke,CK/MQ,
Root Beer,12,,Caffien Free,CK/MQ,
Coke Zero ,24,,,CK/MQ,
Caffeine free coke zero,24,,,,
#Boos,,,,,
Modelo,24,canned only,corona,CK,
IPAS,4 six-packs,Veriety is Key,3 12 packs,CK,
Marsala Wine ,1,bottle; dry,,,Chicken Marsala
,,,,,
#Spices,,,,,
Smoked Paprica,1 Large,,,,Chicken and Waffles
Red River Ranch Original,1 bottle,,,,Chicken and Waffles
