Eric/Bre,,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = EK/BT),Meal
#snacks,,,,,
,,,,,
,,,,,
#misc,,,,,
Large bottle whole peppercorns,1,,,,
Dill seed ,2 Jars ,,,,
Largest container unflavored coffee grounds ,1,,,,
,,,,,
,,,,,
,,,,,
#condiments,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#produce,,,,,
Mint ,1 Bundle ,,,,
Zucchini ,1,,,,
Raspberries ,1 Pack ,,,,
Strawberry ,1 Pack ,,,,
Baby carrots ,1 Large bag ,,,,
,,,,,
#frozen,,,,,
Frozen salmon ,1 Bag ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Grain,,,,,
Instant white rice ,1 large box or 4 small boxes ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#baking,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#dairy,,,,,
Yoplait strawberry banana yogurt ,1 Large box ,,,,
Kraft singles,1 Pack ,,,,
Mozzarella cheese sticks ,1 Bag ,,,,
Eggs ,12 pack ,,,,
Fair life 2% milk,1,,,,
,,,,,
#meat,,,,,
"Pork shoulder roast (2 lb, butcher)",,,,,
Stir fry beef,2 lbs ,,,,
Chicken leg meat,1 3lb Pack ,,,,
Peperoni ,1 Large pack ,,,,
,,,,,
,,,,,
#Canned,,,,,
Campbells tomato soup,3,,,,
Campbell's vegetable soup,3,,,,
Campbell's creamy chicken dumpling soup,3,,,,
,,,,,
,,,,,
,,,,,
#Drinks,,,,,
Diet rootbeer ,12 pack ,,,,
Plain seltzer ,12 pack ,,,,
Cactus cooler ,12 pack ,,,,
,,,,,
,,,,,
,,,,,
#Boos,,,,,
Assorted White Claw,,,,,
Variety pack IPA ,12 pack ,,,,
Cheap bottles rose,2 bottles,,,,
