Jesse,,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = JK),Meal
#snacks,,,,,
,,,,,
,,,,,
#misc,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#condiments,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#produce,,,,,
Thai Chili's,1 lbs,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#frozen,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Grain,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#baking,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#dairy,,,,,
sharp cheddar sliced,16+ slices,,medium cheddar,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#meat,,,,,
ground beef,1lbs ,,,,
chicken breast,2-4 breasts (not family pack),,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Canned,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Drinks,,,,,
Soda waters,50+ cans,,,,
tamarind juice,,99 ranch,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Boos,,,,,
