Nancy,,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = NS),Meal
#snacks,,,,,
,,,,,
,,,,,
#misc,,,,,
listerine ready tabs,1,mint,,,
Bleach,1,,,,
Corn Relief Pads,1,,,,
,,,,,
,,,,,
,,,,,
#condiments,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#produce,,,,,
lettuce,1, romaine,red or green leaf,,
nectarines,3,,,,
pears,3,,,,
bananas,4,,,,
cherries,1 bag,,,,
gala apples,4,,,,
zuccini,2,,,,
corn on the cob,2,,,,
,,,,,
,,,,,
,,,,,
#frozen,,,,,
corn dogs,1,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Grain,,,,,
Oatmeal,1,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#baking,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#dairy,,,,,
Fair life 2 %,2,,,,
1/2 & 1/2,1,Quart,,,
,,,,,
,,,,,
,,,,,
,,,,,
#meat,,,,,
Ham Hock,1,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Canned,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Drinks,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Boos,,,,,
